cbo,description,family_id
214515,"Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica)",2145
214520,Engenheiro químico (papel e celulose),2145
214525,Engenheiro químico (petróleo e borracha),2145
214530,Engenheiro químico (utilidades e meio ambiente),2145
214535,Tecnólogo em produção sulcroalcooleira,2145
214540,Engenheiro têxtil,2145
214605,Engenheiro de materiais,2146
214610,Engenheiro metalurgista,2146
214615,Tecnólogo em metalurgia,2146
214705,Engenheiro de minas,2147
214710,Engenheiro de minas (beneficiamento),2147
214715,Engenheiro de minas (lavra a céu aberto),2147
214720,Engenheiro de minas (lavra subterrânea),2147
214725,Engenheiro de minas (pesquisa mineral),2147
214730,Engenheiro de minas (planejamento),2147
214735,Engenheiro de minas (processo),2147
214740,Engenheiro de minas (projeto),2147
214745,Tecnólogo em petróleo e gás,2147
214750,Tecnólogo em rochas ornamentais,2147
214805,Engenheiro agrimensor,2148
214810,Engenheiro cartógrafo,2148
214905,Engenheiro de produção,2149
214910,Engenheiro de controle de qualidade,2149
214915,Engenheiro de segurança do trabalho,2149
214920,Engenheiro de riscos,2149
214925,Engenheiro de tempos e movimentos,2149
214930,Tecnólogo em produção industrial,2149
214935,Tecnólogo em segurança do trabalho,2149
214940,Higienista ocupacional,2149
214945,Engenheiro de logistica,2149
214950,Ergonomista,2149
215105,Agente de manobra e docagem,2151
215110,Capitão de manobra da marinha mercante,2151
215115,Comandante da marinha mercante,2151
215120,Coordenador de operações de combate à poluição no meio aquaviário,2151
215125,Imediato da marinha mercante,2151
215130,Inspetor de terminal,2151
215135,Inspetor naval,2151
215140,Oficial de quarto de navegação da marinha mercante,2151
215145,Prático de portos da marinha mercante,2151
215150,Vistoriador naval,2151
215205,Oficial superior de máquinas da marinha mercante,2152
215210,Primeiro oficial de máquinas da marinha mercante,2152
215215,Segundo oficial de máquinas da marinha mercante,2152
215220,Superintendente técnico no transporte aquaviário,2152
215305,Piloto de aeronaves,2153
215310,Piloto de ensaios em vôo,2153
215315,Instrutor de vôo,2153
221105,Biólogo,2211
221110,Biólogo em meio ambiente e biodiversidade,2211
221115,Biólogo em saúde,2211
221205,Biomédico,2212
222105,Engenheiro agrícola,2221
222110,Engenheiro agrônomo,2221
222115,Engenheiro de pesca,2221
222120,Engenheiro florestal,2221
222125,Tecnólogo em agronegócio,2221
222205,Engenheiro de alimentos,2222
222215,Tecnólogo em alimentos,2222
223204,Cirurgião dentista - auditor,2232
223208,Cirurgião dentista - clínico geral,2232
223212,Cirurgião dentista - endodontista,2232
223216,Cirurgião dentista - epidemiologista,2232
223220,Cirurgião dentista - estomatologista,2232
223224,Cirurgião dentista - implantodontista,2232
223228,Cirurgião dentista - odontogeriatra,2232
223232,Cirurgião dentista - odontologista legal,2232
223236,Cirurgião dentista - odontopediatra,2232
223240,Cirurgião dentista - ortopedista e ortodontista,2232
223244,Cirurgião dentista - patologista bucal,2232
223248,Cirurgião dentista - periodontista,2232
223252,Cirurgião dentista - protesiólogo bucomaxilofacial,2232
223256,Cirurgião dentista - protesista,2232
223260,Cirurgião dentista - radiologista,2232
223264,Cirurgião dentista - reabilitador oral,2232
223268,Cirurgião dentista - traumatologista bucomaxilofacial,2232
223272,Cirurgião dentista de saúde coletiva,2232
223276,Cirurgião dentista - odontologia do trabalho,2232
223280,Cirurgião dentista - dentística,2232
223284,Cirurgião dentista - disfunção temporomandibular e dor orofacial,2232
223288,Cirurgião dentista - odontologia para pacientes com necessidades especiais,2232
223293,Cirurgião-dentista da estratégia de saúde da família,2232
223305,Médico veterinário,2233
223310,Zootecnista,2233
223405,Farmacêutico,2234
223415,Farmacêutico analista clínico,2234
223420,Farmacêutico de alimentos,2234
223425,Farmacêutico práticas integrativas e complementares,2234
223430,Farmacêutico em saúde pública,2234
223435,Farmacêutico industrial,2234
223440,Farmacêutico toxicologista,2234
223445,Farmacêutico hospitalar e clínico,2234
223505,Enfermeiro,2235
223510,Enfermeiro auditor,2235
223515,Enfermeiro de bordo,2235
223520,Enfermeiro de centro cirúrgico,2235
223525,Enfermeiro de terapia intensiva,2235
223530,Enfermeiro do trabalho,2235
223535,Enfermeiro nefrologista,2235
223540,Enfermeiro neonatologista,2235
223545,Enfermeiro obstétrico,2235
223550,Enfermeiro psiquiátrico,2235
223555,Enfermeiro puericultor e pediátrico,2235
223560,Enfermeiro sanitarista,2235
223565,Enfermeiro da estratégia de saúde da família,2235
223570,Perfusionista,2235
223575,Obstetriz,2235
223580,Enfermeiro estomaterapeuta,2235
223585,Enfermeiro forense,2235
223605,Fisioterapeuta geral,2236
223625,Fisioterapeuta respiratória,2236
223630,Fisioterapeuta neurofuncional,2236
223635,Fisioterapeuta traumato-ortopédica funcional,2236
223640,Fisioterapeuta osteopata,2236
223645,Fisioterapeuta quiropraxista,2236
223650,Fisioterapeuta acupunturista,2236
223655,Fisioterapeuta esportivo,2236
223660,Fisioterapeuta  do trabalho,2236
223705,Dietista,2237
223710,Nutricionista,2237
223810,Fonoaudiólogo geral,2238
223815,Fonoaudiólogo educacional,2238
223820,Fonoaudiólogo em audiologia,2238
223825,Fonoaudiólogo em disfagia,2238
223830,Fonoaudiólogo em linguagem,2238
223835,Fonoaudiólogo em motricidade orofacial,2238
223840,Fonoaudiólogo em saúde coletiva,2238
223845,Fonoaudiólogo em voz,2238
223905,Terapeuta ocupacional,2239
223910,Ortoptista,2239
223915,Psicomotricista,2239
224105,Avaliador físico,2241
224110,Ludomotricista,2241
224115,Preparador de atleta,2241
224120,Preparador físico,2241
224125,Técnico de desporto individual e coletivo (exceto futebol),2241
224130,Técnico de laboratório e fiscalização desportiva,2241
224135,Treinador profissional de futebol,2241
224140,Profissional de educação física na saúde,2241
225103,Médico infectologista,2251
225105,Médico acupunturista,2251
225106,Médico legista,2251
225109,Médico nefrologista,2251
225110,Médico alergista e imunologista,2251
225112,Médico neurologista,2251
225115,Médico angiologista,2251
225118,Médico nutrologista,2251
225120,Médico cardiologista,2251
225121,Médico oncologista clínico,2251
225122,Médico cancerologista pediátrico,2251
225124,Médico pediatra,2251
225125,Médico clínico,2251
225127,Médico pneumologista,2251
225130,Médico de família e comunidade,2251
225133,Médico psiquiatra,2251
225135,Médico dermatologista,2251
225136,Médico reumatologista,2251
225139,Médico sanitarista,2251
225140,Médico do trabalho,2251
225142,Médico da estratégia de saúde da família,2251
225145,Médico em medicina de tráfego,2251
225148,Médico anatomopatologista,2251
225150,Médico em medicina intensiva,2251
225151,Médico anestesiologista,2251
225154,Médico antroposófico,2251
225155,Médico endocrinologista e metabologista,2251
225160,Médico fisiatra,2251
225165,Médico gastroenterologista,2251
225170,Médico generalista,2251
225175,Médico geneticista,2251
225180,Médico geriatra,2251
225185,Médico hematologista,2251
225195,Médico homeopata,2251
225203,Médico em cirurgia vascular,2252
225210,Médico cirurgião cardiovascular,2252
225215,Médico cirurgião de cabeça e pescoço,2252
225220,Médico cirurgião do aparelho digestivo,2252
225225,Médico cirurgião geral,2252
225230,Médico cirurgião pediátrico,2252
225235,Médico cirurgião plástico,2252
225240,Médico cirurgião torácico,2252
225250,Médico ginecologista e obstetra,2252
225255,Médico mastologista,2252
225260,Médico neurocirurgião,2252
225265,Médico oftalmologista,2252
225270,Médico ortopedista e traumatologista,2252
225275,Médico otorrinolaringologista,2252
225280,Médico coloproctologista,2252
225285,Médico urologista,2252
225290,Médico cancerologista cirurgíco,2252
225295,Médico cirurgião da mão,2252
225305,Médico citopatologista,2253
225310,Médico em endoscopia,2253
225315,Médico em medicina nuclear,2253
225320,Médico em radiologia e diagnóstico por imagem,2253
225325,Médico patologista,2253
225330,Médico radioterapeuta,2253
225335,Médico patologista clínico / medicina laboratorial,2253
225340,Médico hemoterapeuta,2253
225345,Médico hiperbarista,2253
225350,Médico neurofisiologista clínico,2253
225355,Médico radiologista intervencionista,2253
226105,Quiropraxista,2261
226110,Osteopata,2261
226305,Musicoterapeuta,2263
226310,Arteterapeuta,2263
226315,Equoterapeuta,2263
226320,Naturólogo,2263
231105,Professor de nível superior na educação infantil (quatro a seis anos),2311
231110,Professor de nível superior na educação infantil (zero a três anos),2311
231205,Professor da  educação de jovens e adultos do ensino fundamental (primeira a quarta série),2312
231210,Professor de nível superior do ensino fundamental (primeira a quarta série),2312
231305,Professor de ciências exatas e naturais do ensino fundamental,2313
231310,Professor de educação artística do ensino fundamental,2313
231315,Professor de educação física do ensino fundamental,2313
231320,Professor de geografia do ensino fundamental,2313
231325,Professor de história do ensino fundamental,2313
231330,Professor de língua estrangeira moderna do ensino fundamental,2313
231335,Professor de língua portuguesa do ensino fundamental,2313
231340,Professor de matemática do ensino fundamental,2313
232105,Professor de artes no ensino médio,2321
232110,Professor de biologia no ensino médio,2321
232115,Professor de disciplinas pedagógicas no ensino médio,2321
232120,Professor de educação física no ensino médio,2321
232125,Professor de filosofia no ensino médio,2321
232130,Professor de física no ensino médio,2321
232135,Professor de geografia no ensino médio,2321
232140,Professor de história no ensino médio,2321
232145,Professor de língua e literatura brasileira no ensino médio,2321
232150,Professor de língua estrangeira moderna no ensino médio,2321
232155,Professor de matemática no ensino médio,2321
232160,Professor de psicologia no ensino médio,2321
232165,Professor de química no ensino médio,2321
232170,Professor de sociologia no ensino médio,2321
233105,Professor da área de meio ambiente,2331
233110,Professor de desenho técnico,2331
233115,Professor de técnicas agrícolas,2331
233120,Professor de técnicas comerciais e secretariais,2331
233125,Professor de técnicas de enfermagem,2331
233130,Professor de técnicas industriais,2331
233135,Professor de tecnologia e cálculo técnico,2331
233205,Instrutor de aprendizagem e treinamento agropecuário,2332
233210,Instrutor de aprendizagem e treinamento industrial,2332
233215,Instrutor de aprendizagem e treinamento comercial,2332
233220,Professor instrutor de ensino e aprendizagem agroflorestal,2332
233225,Professor instrutor de ensino e aprendizagem em serviços,2332
234105,Professor de matemática aplicada (no ensino superior),2341
234110,Professor de matemática pura (no ensino superior),2341
234115,Professor de estatística (no ensino superior),2341
234120,Professor de computação (no ensino superior),2341
234125,Professor de pesquisa operacional (no ensino superior),2341
234205,Professor de física (ensino superior),2342
234210,Professor de química (ensino superior),2342
234215,Professor de astronomia (ensino superior),2342
234305,Professor de arquitetura,2343
234310,Professor de engenharia,2343
234315,Professor de geofísica,2343
234320,Professor de geologia,2343
234405,Professor de ciências biológicas do ensino superior,2344
234410,Professor de educação física no ensino superior,2344
234415,Professor de enfermagem do ensino superior,2344
234420,Professor de farmácia e bioquímica,2344
234425,Professor de fisioterapia,2344
234430,Professor de fonoaudiologia,2344
234435,Professor de medicina,2344
234440,Professor de medicina veterinária,2344
234445,Professor de nutrição,2344
234450,Professor de odontologia,2344
234455,Professor de terapia ocupacional,2344
234460,Professor de zootecnia do ensino superior,2344
234505,Professor de ensino superior na área de didática,2345
234510,Professor de ensino superior na área de orientação educacional,2345
234515,Professor de ensino superior na área de pesquisa educacional,2345
234520,Professor de ensino superior na área de prática de ensino,2345
234604,Professor de língua alemã,2346
234608,Professor de língua italiana,2346
234612,Professor de língua francesa,2346
234616,Professor de língua inglesa,2346
234620,Professor de língua espanhola,2346
234624,Professor de língua portuguesa,2346
234628,Professor de literatura brasileira,2346
234632,Professor de literatura portuguesa,2346
234636,Professor de literatura alemã,2346
234640,Professor de literatura comparada,2346
234644,Professor de literatura espanhola,2346
234648,Professor de literatura francesa,2346
234652,Professor de literatura inglesa,2346
234656,Professor de literatura italiana,2346
234660,Professor de literatura de línguas estrangeiras modernas,2346
234664,Professor de outras línguas e literaturas,2346
234668,Professor de línguas estrangeiras modernas,2346
234672,Professor de lingüística e lingüística aplicada,2346
234676,Professor de filologia e crítica textual,2346
234680,Professor de semiótica,2346
234684,Professor de teoria da literatura,2346
234689,Professor de língua brasileira de sinais (libras),2346
234705,Professor de antropologia do ensino superior,2347
234710,Professor de arquivologia do ensino superior,2347
234715,Professor de biblioteconomia do ensino superior,2347
234720,Professor de ciência política do ensino superior,2347
234725,Professor de comunicação social do ensino superior,2347
234730,Professor de direito do ensino superior,2347
234735,Professor de filosofia do ensino superior,2347
234740,Professor de geografia do ensino superior,2347
234745,Professor de história do ensino superior,2347
234750,Professor de jornalismo,2347
234755,Professor de museologia do ensino superior,2347
234760,Professor de psicologia do ensino superior,2347
234765,Professor de serviço social do ensino superior,2347
234770,Professor de sociologia do ensino superior,2347
234805,Professor de economia,2348
234810,Professor de administração,2348
234815,Professor de contabilidade,2348
234905,Professor de artes do espetáculo no ensino superior,2349
234910,Professor de artes visuais no ensino superior (artes plásticas e multimídia),2349
234915,Professor de música no ensino superior,2349
239205,Professor de alunos com deficiência auditiva e surdos,2392
239210,Professor de alunos com deficiência física,2392
239215,Professor de alunos com deficiência mental,2392
239220,Professor de alunos com deficiência múltipla,2392
239225,Professor de alunos com deficiência visual,2392
239405,Coordenador pedagógico,2394
239410,Orientador educacional,2394
239415,Pedagogo,2394
239420,Professor de técnicas e recursos audiovisuais,2394
239425,Psicopedagogo,2394
239430,Supervisor de ensino,2394
239435,Designer educacional,2394
239440,Neuropsicopedagogo clinico,2394
239445,Neuropsicopedagogo institucional,2394
241005,Advogado,2410
241010,Advogado de empresa,2410
241015,Advogado (direito civil),2410
241020,Advogado (direito público),2410
241025,Advogado (direito penal),2410
241030,Advogado (áreas especiais),2410
241035,Advogado (direito do trabalho),2410
241040,Consultor jurídico,2410
241205,Advogado da união,2412
241210,Procurador autárquico,2412
241215,Procurador da fazenda nacional,2412
241220,Procurador do estado,2412
241225,Procurador do município,2412
241230,Procurador federal,2412
241235,Procurador fundacional,2412
241305,Oficial de registro de contratos marítimos,2413
241310,Oficial do registro civil de pessoas jurídicas,2413
241315,Oficial do registro civil de pessoas naturais,2413
241320,Oficial do registro de distribuições,2413
241325,Oficial do registro de imóveis,2413
241330,Oficial do registro de títulos e documentos,2413
241335,Tabelião de notas,2413
241340,Tabelião de protestos,2413
241405,Conselheiro julgador,2414
242205,Procurador da república,2422
242210,Procurador de justiça,2422
242215,Procurador de justiça militar,2422
242220,Procurador do trabalho,2422
242225,Procurador regional da república,2422
242230,Procurador regional do trabalho,2422
242235,Promotor de justiça,2422
242240,Subprocurador de justiça militar,2422
242245,Subprocurador-geral da república,2422
242250,Subprocurador-geral do trabalho,2422
242305,Delegado de polícia,2423
242405,Defensor público,2424
242410,Procurador da assistência judiciária,2424
242905,Oficial de inteligência,2429
242910,Oficial técnico de inteligência,2429
251105,Antropólogo,2511
251110,Arqueólogo,2511
251115,Cientista político,2511
251120,Sociólogo,2511
251205,Economista,2512
251210,Economista agroindustrial,2512
251215,Economista financeiro,2512
251220,Economista industrial,2512
251225,Economista do setor público,2512
251230,Economista ambiental,2512
251235,Economista regional e urbano,2512
251305,Geógrafo,2513
251405,Filósofo,2514
251505,Psicólogo educacional,2515
251510,Psicólogo clínico,2515
251515,Psicólogo do esporte,2515
251520,Psicólogo hospitalar,2515
251525,Psicólogo jurídico,2515
251530,Psicólogo social,2515
251535,Psicólogo do trânsito,2515
251540,Psicólogo do trabalho,2515
251545,Neuropsicólogo,2515
251550,Psicanalista,2515
251555,Psicólogo acupunturista,2515
251605,Assistente social,2516
251610,Economista doméstico,2516
252105,Administrador,2521
252205,Auditor (contadores e afins),2522
252210,Contador,2522
252215,Perito contábil,2522
252305,Secretária(o) executiva(o),2523
252310,Secretário  bilíngüe,2523
