,SUBCAT,DESCRICAO
72,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
73,A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
74,A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
75,A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
76,A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
77,A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
78,A170,Meningite tuberculosa
79,A171,Tuberculoma meníngeo
80,A178,Outras tuberculoses do sistema nervoso
81,A179,Tuberculose não especificada do sistema nervoso
82,A180,Tuberculose óssea e das articulações
83,A181,Tuberculose do aparelho geniturinário
84,A182,Linfadenopatia tuberculosa periférica
85,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
86,A184,Tuberculose de pele e do tecido celular subcutâneo
87,A185,Tuberculose do olho
88,A186,Tuberculose do ouvido
89,A187,Tuberculose das supra-renais
90,A188,Tuberculose de outros órgãos especificados
91,A190,Tuberculose miliar aguda de localização única e especificada
92,A191,Tuberculose miliar aguda de múltiplas localizações
93,A192,Tuberculose miliar aguda não especificada
94,A198,Outras tuberculoses miliares
95,A199,Tuberculose miliar não especificada
96,A200,Peste bubônica
97,A201,Peste celulocutânea
98,A202,Peste pneumônica
99,A203,Peste meníngea
100,A207,Peste septicêmica
101,A208,Outras formas de peste
102,A209,"Peste, forma não especificada"
103,A210,Tularemia ulceroglandular
104,A211,Tularemia oculoglandular
105,A212,Tularemia pulmonar
106,A213,Tularemia gastrointestinal
107,A217,Tularemia generalizada
108,A218,Outras formas de tularemia
109,A219,"Tularemia, forma não especificada"
110,A220,Carbúnculo cutâneo
111,A221,Carbúnculo pulmonar
112,A222,Carbúnculo gastrointestinal
113,A227,Septicemia carbunculosa
114,A228,Outras formas de carbúnculo
115,A229,"Carbúnculo, forma não especificada"
116,A230,Brucelose por Brucella melitensis
117,A231,Brucelose por Brucella abortus
118,A232,Brucelose por Brucella suis
119,A233,Brucelose por Brucella canis
120,A238,Outras bruceloses
121,A239,Brucelose não especificada
122,A240,Mormo
123,A241,Melioidose aguda e fulminante
124,A242,Melioidose subaguda e crônica
125,A243,Outras melioidoses
126,A244,Melioidose não especificada
127,A250,Espirilose
128,A251,Estreptobacilose
129,A259,"Febre transmitida por mordedura de rato, tipo não especificado"
130,A260,Erisipelóide cutâneo
131,A267,Septicemia por Erysipelothrix
132,A268,Outras formas de erisipelóide
133,A269,Erisipelóide não especificado
134,A270,Leptopirose icterohemorrágica
135,A278,Outras formas de leptospirose
136,A279,Leptospirose não especificada
137,A280,Pasteurelose
138,A281,Doença por arranhadura do gato
139,A282,Yersiniose extra-intestinal
140,A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
141,A289,Doença bacteriana zoonótica não especificada
142,A300,Hanseníase [lepra] indeterminada
143,A301,Hanseníase [lepra] tuberculóide
144,A302,Hanseníase [lepra] tuberculóide borderline
145,A303,Hanseníase [lepra] dimorfa
146,A304,Hanseníase [lepra] lepromatosa borderline
147,A305,Hanseníase [lepra] lepromatosa
148,A308,Outras formas de hanseníase [lepra]
149,A309,Hanseníase [lepra] não especificada
150,A310,Infecção pulmonar micobacteriana
151,A311,Infecção cutânea micobacteriana
152,A318,Outras infecções micobacterianas
153,A319,Infecção micobacteriana não especificada
154,A320,Listeriose cutânea
155,A321,Meningite e meningoencefalite por listéria
156,A327,Septicemia listeriótica
157,A328,Outras formas de listeriose
158,A329,Listeriose não especificada
159,A33,Tétano do recém-nascido [neonatal]
160,A34,Tétano obstétrico
161,A35,Outros tipos de tétano
162,A360,Difteria faríngea
163,A361,Difteria nasofaríngea
164,A362,Difteria laríngea
165,A363,Difteria cutânea
166,A368,Outras formas de difteria
167,A369,Difteria não especificada
168,A370,Coqueluche por Bordetella pertussis
169,A371,Coqueluche por Bordetella parapertussis
170,A378,Coqueluche por outras espécies da Bordetella
171,A379,Coqueluche não especificada
172,A38,Escarlatina
173,A390,Meningite meningocócica
174,A391,Síndrome de Waterhouse-Friderichsen
175,A392,Meningococcemia aguda
176,A393,Meningococcemia crônica
177,A394,Meningococcemia não especificada
178,A395,Cardite por meningococos
179,A398,Outras infecções por meningococos
180,A399,Infecção meningocócica não especificada
181,A400,Septicemia por Streptococcus do grupo A
182,A401,Septicemia por Streptococcus do grupo B
183,A402,Septicemia por Streptococcus do grupo D
184,A403,Septicemia por Streptococcus pneumonia
185,A408,Outras septicemias estreptocócicas
186,A409,Septicemia estreptocócica não especificada
187,A410,Septicemia por Staphylococcus aureus
188,A411,Septicemia por outros estafilococos especificados
189,A412,Septicemia por estafilococos não especificados
190,A413,Septicemia por Haemophilus influenzae
191,A414,Septicemia por anaeróbios
192,A415,Septicemia por outros microorganismos gram-negativos
193,A418,Outras septicemias especificadas
194,A419,Septicemia não especificada
195,A420,Actinomicose pulmonar
196,A421,Actinomicose abdominal
197,A422,Actinomicose cervicofacial
198,A427,Septicemia actinomicótica
199,A428,Outras formas de actinomicose
200,A429,Actinomicose não especificada
201,A430,Nocardiose pulmonar
202,A431,Nocardiose cutânea
203,A438,Outras formas de nocardiose
204,A439,Nocardiose não especificada
205,A440,Bartonelose sistêmica
206,A441,Bartonelose cutânea e cutâneo-mucosa
207,A448,Outras formas de bartonelose
208,A449,Bartonelose não especificada
209,A46,Erisipela
210,A480,Gangrena gasosa
211,A481,Doença dos legionários
212,A482,Doença dos legionários não-pneumônica [febre de Pontiac]
213,A483,Síndrome do choque tóxico
214,A484,Febre purpúrica do Brasil
215,A488,Outras doenças bacterianas especificadas
216,A490,Infecção estafilocócica de localização não especificada
217,A491,Infecção estreptocócica de localização não especificada
218,A492,Infecção por Haemophilus influenzae de localização não especificada
219,A493,Infecção por Mycoplasma de localização não especificada
220,A498,Outras infecções bacterianas de localização não especificada
221,A499,Infecção bacteriana não especificada
222,A500,Sífilis congênita precoce sintomática
223,A501,"Sífilis congênita precoce, forma latente"
224,A502,Sífilis congênita precoce não especificada
225,A503,Oculopatia sifilítica congênita tardia
226,A504,Neurossífilis congênita tardia [neurossífilis juvenil]
227,A505,Outras formas tardias e sintomáticas da sífilis congênita
228,A506,Sífilis congênita tardia latente
229,A507,Sífilis congênita tardia não especificada
230,A509,Sífilis congênita não especificada
231,A510,Sífilis genital primária
232,A511,Sífilis anal primária
233,A512,Sífilis primária de outras localizações
234,A513,Sífilis secundária da pele e das mucosas
235,A514,Outras formas de sífilis secundária
236,A515,Sífilis precoce latente
237,A519,Sífilis precoce não especificada
238,A520,Sífilis cardiovascular
239,A521,Neurossífilis sintomática
240,A522,Neurossífilis assintomática
241,A523,Neurossífilis não especificada
242,A527,Outras formas de sífilis tardia sintomática
243,A528,Sífilis tardia latente
244,A529,Sífilis tardia não especificada
245,A530,"Sífilis latente, não especificada se recente ou tardia"
246,A539,Sífilis não especificada
247,A540,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias"
248,A541,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias"
249,A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
250,A543,Infecção gonocócica do olho
251,A544,Infecção gonocócica do sistema músculo-esquelético
252,A545,Faringite gonocócica
253,A546,Infecção gonocócica do ânus ou do reto
254,A548,Outras infecções gonocócicas
255,A549,Infecção gonocócica não especificada
256,A55,Linfogranuloma (venéreo) por clamídia
257,A560,Infecções por clamídias do trato geniturinário inferior
258,A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
259,A562,"Infecção por clamídias do trato geniturinário, localização não especificada"
260,A563,Infecção do ânus e do reto por clamídias
261,A564,Infecção da faringe por clamídias
262,A568,"Infecção por clamídias transmitida por via sexual, de outras localizações"
263,A57,Cancro mole
264,A58,Granuloma inguinal
265,A590,Tricomoníase urogenital
266,A598,Outras localizações de tricomoníase
267,A599,Tricomoníase não especificada
268,A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
269,A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
270,A609,Infecção anogenital não especificada pelo vírus do herpes
271,A630,Verrugas anogenitais (venéreas)
272,A638,Outras doenças especificadas de transmissão predominantemente sexual
273,A64,"Doenças sexualmente transmitidas, não especificadas"
274,A65,Sífilis não-venérea
275,A660,Lesões iniciais da bouba
276,A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
277,A662,Outras lesões cutâneas precoces da bouba
278,A663,Hiperceratose devida a bouba
279,A664,Gomas e úlceras devidas à bouba
280,A665,Gangosa
281,A666,Lesões osteoarticulares devidas à bouba
282,A667,Outras manifestações da bouba
283,A668,Bouba latente
284,A669,Bouba não especificada
285,A670,Lesões primárias da pinta
286,A671,Lesões intermediárias da pinta
287,A672,Lesões tardias da pinta
288,A673,Lesões mistas da pinta
289,A679,Pinta não especificada
290,A680,Febre recorrente transmitida por piolhos
291,A681,Febre recorrente transmitida por carrapatos
292,A689,Febre recorrente não especificada
293,A690,Estomatite ulcerativa necrotizante
294,A691,Outras infecções de Vincent
295,A692,Doença de Lyme
296,A698,Outras infecções especificadas por espiroquetas
297,A699,"Infecção por espiroqueta, não especificada"
298,A70,Infecções causadas por Clamídia psittaci
299,A710,Fase inicial do tracoma
300,A711,Fase ativa do tracoma
301,A719,Tracoma não especificado
302,A740,Conjuntivite causada por clamídias
303,A748,Outras doenças causadas por clamídias
304,A749,Infecção causada por clamídias não especificada
305,A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
306,A751,Tifo recrudescente [doença de Brill]
307,A752,Tifo por Rickettsia typhi
308,A753,Tifo por Rickettsia tsutsugamuchi
309,A759,Tifo não especificado
310,A770,Febre maculosa por Rickettsia richettsii
311,A771,Febre maculosa por Rickettsia conorii
312,A772,Febre maculosa devida à Rickettsia siberica
313,A773,Febre maculosa devida à Rickettsia australis
314,A778,Outras febres maculosas
315,A779,Febre maculosa não especificada
316,A78,Febre Q
317,A790,Febre das trincheiras
318,A791,Rickettsiose variceliforme devida à Rickettsia akari
319,A798,Outros tipos de rickettsioses especificadas
320,A799,Rickettsiose não especificada
321,A800,"Poliomielite paralítica aguda, associada ao vírus vacinal"
322,A801,"Poliomielite paralítica aguda, vírus selvagem importado"
323,A802,"Poliomielite paralítica aguda, vírus selvagem indígena"
324,A803,"Poliomielites paralíticas agudas, outras e não especificadas"
325,A804,Poliomielite aguda não-paralítica
326,A809,Poliomielite aguda não especificada
327,A810,Doença de Creutzfeldt-Jakob
328,A811,Panencefalite esclerosante subaguda
329,A812,Leucoencefalopatia multifocal progressiva
330,A818,Outras infecções por vírus atípicos do sistema nervoso central
331,A819,Infecção não especificada do sistema nervosos central por vírus atípicos
332,A820,Raiva silvestre
333,A821,Raiva urbana
334,A829,Raiva não especificada
335,A830,Encefalite japonesa
336,A831,Encefalite eqüina ocidental
337,A832,Encefalite eqüina oriental
338,A833,Encefalite de St. Louis
339,A834,Encefalite australiana
340,A835,Encefalite da Califórnia
341,A836,Doença pelo vírus de Rocio
342,A838,Outras encefalites por vírus transmitidas por mosquitos
343,A839,Encefalite não especificada por vírus transmitida por mosquitos
344,A840,Encefalite da taiga [encefalite vernoestival russa]
345,A841,Encefalite da Europa Central transmitida por carrapatos
346,A848,Outras encefalites por vírus transmitidas por carrapatos
347,A849,Encefalite não especificada por vírus transmitida por carrapatos
348,A850,Encefalite por enterovírus
349,A851,Encefalite por adenovírus
350,A852,"Encefalite por vírus transmitido por artrópodes, não especificada"
351,A858,Outras encefalites virais especificadas
352,A86,"Encefalite viral, não especificada"
353,A870,Meningite por enterovírus
354,A871,Meningite por adenovírus
355,A872,Coriomeningite linfocitária
356,A878,Outras meningites virais
357,A879,Meningite viral não especificada
358,A880,Febre exantemática por enterovírus [exantema de Boston]
359,A881,Vertigem epidêmica
360,A888,Outras infecções virais especificadas do sistema nervoso central
361,A89,Infecções virais não especificadas do sistema nervoso central
362,A90,Dengue [dengue clássico]
363,A91,Febre hemorrágica devida ao vírus do dengue
364,A920,Febre de Chikungunya
365,A921,Febre de O'nyong-nyong
366,A922,Febre eqüina venezuelana
367,A923,Infecção pelo vírus West Nile
368,A924,Febre do vale do Rift
369,A928,Outras febres virais especificadas transmitidas por mosquitos
370,A929,"Febre viral transmitida por mosquitos, não especificada"
371,A930,Febre de Oropouche
372,A931,Febre por flebótomos
373,A932,Febre do Colorado transmitida por carrapatos
374,A938,Outras febres virais especificadas transmitidas por artrópodes
375,A94,"Febre viral transmitida por artrópodes, não especificada"
376,A950,Febre amarela silvestre
377,A951,Febre amarela urbana
378,A959,Febre amarela não especificada
379,A960,Febre hemorrágica de Junin
380,A961,Febre hemorrágica de Machupo
381,A962,Febre de Lassa
382,A968,Outras febres hemorrágicas por arenavírus
383,A969,"Febre hemorrágica por arenavírus, não especificada"
384,A980,Febre hemorrágica da Criméia (do Congo)
385,A981,Febre hemorrágica de Omsk
386,A982,Doença da floresta de Kyasanur
387,A983,Doença de Marburg
388,A984,Doença pelo vírus Ebola
389,A985,Febre hemorrágica com síndrome renal
390,A988,Outras febres hemorrágicas especificadas por vírus
391,A99,Febres hemorrágicas virais não especificadas
392,B000,Eczema herpético
393,B001,Dermatite vesicular devido ao vírus do herpes
394,B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
395,B003,Meningite devida ao vírus do herpes
396,B004,Encefalite devida ao vírus do herpes
397,B005,Afecções oculares devidas ao vírus do herpes
398,B007,Doença disseminada devida ao vírus do herpes
399,B008,Outras formas de infecção devida ao vírus do herpes
400,B009,Infecção não especificada devida ao vírus do herpes
401,B010,Meningite por varicela
402,B011,Encefalite por varicela
403,B012,Pneumopatia varicelosa
404,B018,Varicela com outras complicações
405,B019,Varicela sem complicação
406,B020,Encefalite pelo vírus do herpes zoster
407,B021,Meningite pelo vírus do herpes zoster
408,B022,Herpes zoster acompanhado de outras manifestações neurológicas
409,B023,Herpes zoster oftálmico
410,B027,Herpes zoster disseminado
411,B028,Herpes zoster com outras complicações
412,B029,Herpes zoster sem complicação
413,B03,Varíola
414,B04,Varíola dos macacos [Monkeypox]
415,B050,Sarampo complicado por encefalite
416,B051,Sarampo complicado por meningite
417,B052,Sarampo complicado por pneumonia
418,B053,Sarampo complicado por otite média
419,B054,Sarampo com complicações intestinais
420,B058,Sarampo com outras complicações
421,B059,Sarampo sem complicação
422,B060,Rubéola com complicações neurológicas
423,B068,Rubéola com outras complicações
424,B069,Rubéola sem complicação
425,B07,Verrugas de origem viral
426,B080,Outras infecções por ortopoxvírus
427,B081,Molusco contagioso
428,B082,Exantema súbito [sexta doença]
429,B083,Eritema infeccioso [quinta doença]
430,B084,Estomatite vesicular devida a enterovírus com exantema
431,B085,Faringite vesicular devida a enterovírus
432,B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
433,B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
434,B150,Hepatite A com coma hepático
435,B159,Hepatite A sem coma hepático
436,B160,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático"
437,B161,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático"
438,B162,"Hepatite aguda B sem agente Delta, com coma hepático"
439,B169,Hepatite aguda B sem agente Delta e sem coma hepático
440,B170,(Super)infecção Delta aguda de portador de hepatite B
441,B171,Hepatite aguda C
442,B172,Hepatite aguda E
443,B178,Outras hepatites virais agudas especificadas
444,B180,Hepatite viral crônica B com agente Delta
445,B181,Hepatite crônica viral B sem agente Delta
446,B182,Hepatite viral crônica C
447,B188,Outras hepatites crônicas virais
448,B189,Hepatite viral crônica não especificada
449,B190,"Hepatite viral, não especificada, com coma"
450,B199,"Hepatite viral, não especificada, sem coma"
451,B200,Doença pelo HIV resultando em infecções micobacterianas
452,B201,Doença pelo HIV resultando em outras infecções bacterianas
453,B202,Doença pelo HIV resultando em doença citomegálica
454,B203,Doença pelo HIV resultando em outras infecções virais
455,B204,Doença pelo HIV resultando em candidíase
456,B205,Doença pelo HIV resultando em outras micoses
457,B206,Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii
458,B207,Doença pelo HIV resultando em infecções múltiplas
459,B208,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
460,B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
461,B210,Doença pelo HIV resultando em sarcoma de Kaposi
462,B211,Doença pelo HIV resultando em linfoma de Burkitt
463,B212,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin
464,B213,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos"
465,B217,Doença pelo HIV resultando em múltiplas neoplasias malignas
466,B218,Doença pelo HIV resultando em outras neoplasias malignas
467,B219,Doença pelo HIV resultando em neoplasia maligna não especificada
468,B220,Doença pelo HIV resultando em encefalopatia
469,B221,Doença pelo HIV resultando em pneumonite intersticial linfática
470,B222,Doença pelo HIV resultando em síndrome de emaciação
471,B227,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
472,B230,Síndrome de infecção aguda pelo HIV
473,B231,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
474,B232,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
475,B238,Doença pelo HIV resultando em outra afecções especificadas
476,B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
477,B250,Pneumonite por citomegalovírus
478,B251,Hepatite por citomegalovírus
479,B252,Pancreatite por citomegalovírus
480,B258,Outras doenças por citomegalovírus
481,B259,Doença não especificada por citomegalovírus
482,B260,Orquite por caxumba [parotidite epidêmica]
483,B261,Meningite por caxumba [parotidite epidêmica]
484,B262,Encefalite por caxumba [parotidite epidêmica]
485,B263,Pancreatite por caxumba [parotidite epidêmica]
486,B268,Caxumba [parotidite epidêmica] com outras complicações
487,B269,Caxumba [parotidite epidêmica] sem complicações
488,B270,Mononucleose pelo vírus herpes gama
489,B271,Mononucleose por citomegalovírus
490,B278,Outras mononucleoses infecciosas
491,B279,Mononucleose infecciosa não especificada
492,B300,Ceratoconjuntivite devida a adenovírus
493,B301,Conjuntivite devida a adenovírus
494,B302,Faringoconjuntivite viral
495,B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus)
496,B308,Outras conjuntivites virais
497,B309,Conjuntivite viral não especificada
498,B330,Mialgia epidêmica
499,B331,Doença de Ross River
500,B332,Cardite viral
501,B333,Infecção por retrovírus não classificada em outra parte
502,B334,Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]
503,B338,Outras doenças especificadas por vírus
504,B340,Infecção por adenovírus de localização não especificada
505,B341,Infecção por enterovírus de localização não especificada
506,B342,Infecção por coronavírus de localização não especificada
507,B343,Infecção por parvovírus de localização não especificada
508,B344,Infecção por papovavírus de localização não especificada
509,B348,Outras infecções por vírus de localização não especificada
510,B349,Infecção viral não especificada
511,B350,Tinha da barba e do couro cabeludo
512,B351,Tinha das unhas
513,B352,Tinha da mão
514,B353,Tinha dos pés
515,B354,Tinha do corpo
516,B355,Tinha imbricada
517,B356,Tinea cruris
518,B358,Outras dermatofitoses
519,B359,Dermatofitose não especificada
520,B360,Pitiríase versicolor
521,B361,Tinha negra
522,B362,Piedra branca
523,B363,Piedra negra
524,B368,Outras micoses superficiais especificadas
525,B369,Micose superficial não especificada
526,B370,Estomatite por Candida
527,B371,Candidíase pulmonar
528,B372,Candidíase da pele e das unhas
529,B373,Candidíase da vulva e da vagina
530,B374,Candidíase de outras localizações urogenitais
531,B375,Meningite por Candida
532,B376,Endocardite por Candida
533,B377,Septicemia por Candida
534,B378,Candidíase de outras localizações
535,B379,Candidíase não especificada
536,B380,Coccidioidomicose pulmonar aguda
537,B381,Coccidioidomicose pulmonar crônica
538,B382,Coccidioidomicose pulmonar não especificada
539,B383,Coccidioidomicose cutânea
540,B384,Meningite por coccidioidomicose
541,B387,Coccidioidomicose disseminada
542,B388,Outras formas de coccidioidomicose
543,B389,Coccidioidomicose não especificada
544,B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum
545,B391,Histoplasmose pulmonar crônica por Histoplasma capsulatum
546,B392,Histoplasmose pulmonar não especificada por Histoplasma capsulatum
547,B393,Histoplasmose disseminada por Histoplasma capsulatum
548,B394,Histoplasmose não especificada por Histoplasma capsulatum
549,B395,Histoplasmose por Histoplasma duboisii
550,B399,Histoplasmose não especificada
551,B400,Blastomicose pulmonar aguda
552,B401,Blastomicose pulmonar crônica
553,B402,Blastomicose pulmonar não especificada
554,B403,Blastomicose cutânea
555,B407,Blastomicose disseminada
556,B408,Outras formas de blastomicose
557,B409,Blastomicose não especificada
558,B410,Paracoccidioidomicose pulmonar
559,B417,Paracoccidioidomicose disseminada
560,B418,Outras formas de paracoccidioidomicose
561,B419,Paracoccidioidomicose não especificada
562,B420,Esporotricose pulmonar
563,B421,Esporotricose linfocutânea
564,B427,Esporotricose disseminada
565,B428,Outras formas de esporotricose
566,B429,Esporotricose não especificada
567,B430,Cromomicose cutânea
568,B431,Abscesso cerebral feomicótico
569,B432,Abscesso e cisto feomicótico subcutâneos
570,B438,Outras formas de cromomicose
571,B439,Cromomicose não especificada
572,B440,Aspergilose pulmonar invasiva
573,B441,Outras aspergiloses pulmonares
574,B442,Aspergilose amigdaliana
575,B447,Aspergilose disseminada
576,B448,Outras formas de aspergilose
577,B449,Aspergilose não especificada
578,B450,Criptococose pulmonar
579,B451,Criptococose cerebral
580,B452,Criptococose cutânea
581,B453,Criptococose óssea
582,B457,Criptococose disseminada
583,B458,Outras formas de criptococose
584,B459,Criptococose não especificada
585,B460,Mucormicose pulmonar
586,B461,Mucormicose rinocerebral
587,B462,Mucormicose gastrointestinal
588,B463,Mucormicose cutânea
589,B464,Mucormicose disseminada
590,B465,Mucormicose não especificada
591,B468,Outras zigomicoses
592,B469,Zigomicose não especificada
593,B470,Eumicetoma
594,B471,Actinomicetoma
595,B479,Micetoma não especificado
596,B480,Lobomicose
597,B481,Rinosporidiose
598,B482,Alesqueriose
599,B483,Geotricose
600,B484,Penicilose
601,B487,Micoses oportunistas
602,B488,Outras micoses especificadas
603,B49,Micose não especificada
604,B500,Malária por Plasmodium falciparum com complicações cerebrais
605,B508,Outras formas graves e complicadas de malária por Plasmodium falciparum
606,B509,Malária não especificada por Plasmodium falciparum
607,B510,Malária por Plasmodium vivax com rotura do baço
608,B518,Malária por Plasmodium vivax com outras complicações
609,B519,Malária por Plasmodium vivax sem complicações
610,B520,Malária por Plasmodium malariae com nefropatia
611,B528,Malária por Plasmodium malariae com outras complicações
612,B529,Malária por Plasmodium malariae sem complicações
613,B530,Malária por Plasmodium ovale
614,B531,Malária por plasmódios de macacos
615,B538,"Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte"
616,B54,Malária não especificada
617,B550,Leishmaniose visceral
618,B551,Leishmaniose cutânea
619,B552,Leishmaniose cutâneo-mucosa
620,B559,Leishmaniose não especificada
621,B560,Tripanossomíase por Trypanosoma gambiense
622,B561,Tripanossomíase por Trypanosoma rhodesiense
623,B569,Tripanossomíase africana não especificada
624,B570,"Forma aguda da doença de Chagas, com comprometimento cardíaco"
625,B571,"Forma aguda da doença de Chagas, sem comprometimento cardíaco"
626,B572,Doença de Chagas (crônica) com comprometimento cardíaco
627,B573,Doença de Chagas (crônica) com comprometimento do aparelho digestivo
628,B574,Doença de Chagas (crônica) com comprometimento do sistema nervoso
629,B575,Doença de Chagas (crônica) com comprometimento de outros órgãos
630,B580,Oculopatia por Toxoplasma
631,B581,Hepatite por Toxoplasma
632,B582,Meningoencefalite por Toxoplasma
633,B583,Toxoplasmose pulmonar
634,B588,Toxoplasmose com comprometimento de outros órgãos
635,B589,Toxoplasmose não especificada
636,B59,Pneumocistose
637,B600,Babesiose
638,B601,Acantamebíase
639,B602,Naegleríase
640,B608,Outras doenças especificadas devidas a protozoários
641,B64,Doença não especificada devida a protozoários
642,B650,Esquistossomose devida ao Schistosoma haematobium [esquistossomose urinária]
643,B651,Esquistossomose devida ao Schistosoma mansoni [esquistossomose intestinal]
644,B652,Esquistossomose devida ao Schistosoma japonicum
645,B653,Dermatite por cercárias
646,B658,Outras esquistossomoses
647,B659,Esquistossomose não especificada
648,B660,Opistorquíase
