type,value,description
cid,B001,Dermatite vesicular devido ao vírus do herpes
cid,B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
cid,B003,Meningite devida ao vírus do herpes
cid,B004,Encefalite devida ao vírus do herpes
cid,B005,Afecções oculares devidas ao vírus do herpes
cid,B007,Doença disseminada devida ao vírus do herpes
cid,B008,Outras formas de infecção devida ao vírus do herpes
cid,B009,Infecção não especificada devida ao vírus do herpes
cid,B010,Meningite por varicela
cid,B011,Encefalite por varicela
cid,B012,Pneumopatia varicelosa
cid,B018,Varicela com outras complicações
cid,B019,Varicela sem complicação
cid,B020,Encefalite pelo vírus do herpes zoster
cid,B021,Meningite pelo vírus do herpes zoster
cid,B022,Herpes zoster acompanhado de outras manifestações neurológicas
cid,B023,Herpes zoster oftálmico
cid,B027,Herpes zoster disseminado
cid,B028,Herpes zoster com outras complicações
cid,B029,Herpes zoster sem complicação
cid,B03,Varíola
cid,B04,Varíola dos macacos [Monkeypox]
cid,B050,Sarampo complicado por encefalite
cid,B051,Sarampo complicado por meningite
cid,B052,Sarampo complicado por pneumonia
cid,B053,Sarampo complicado por otite média
cid,B054,Sarampo com complicações intestinais
cid,B058,Sarampo com outras complicações
cid,B059,Sarampo sem complicação
cid,B060,Rubéola com complicações neurológicas
cid,B068,Rubéola com outras complicações
cid,B069,Rubéola sem complicação
cid,B07,Verrugas de origem viral
cid,B080,Outras infecções por ortopoxvírus
cid,B081,Molusco contagioso
cid,B082,Exantema súbito [sexta doença]
cid,B083,Eritema infeccioso [quinta doença]
cid,B084,Estomatite vesicular devida a enterovírus com exantema
cid,B085,Faringite vesicular devida a enterovírus
cid,B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
cid,B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
cid,B150,Hepatite A com coma hepático
cid,B159,Hepatite A sem coma hepático
cid,B160,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático"
cid,B161,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático"
cid,B162,"Hepatite aguda B sem agente Delta, com coma hepático"
cid,B169,Hepatite aguda B sem agente Delta e sem coma hepático
cid,B170,(Super)infecção Delta aguda de portador de hepatite B
cid,B171,Hepatite aguda C
cid,B172,Hepatite aguda E
cid,B178,Outras hepatites virais agudas especificadas
cid,B180,Hepatite viral crônica B com agente Delta
cid,B181,Hepatite crônica viral B sem agente Delta
cid,B182,Hepatite viral crônica C
cid,B188,Outras hepatites crônicas virais
cid,B189,Hepatite viral crônica não especificada
cid,B190,"Hepatite viral, não especificada, com coma"
cid,B199,"Hepatite viral, não especificada, sem coma"
cid,B200,Doença pelo HIV resultando em infecções micobacterianas
cid,B201,Doença pelo HIV resultando em outras infecções bacterianas
cid,B202,Doença pelo HIV resultando em doença citomegálica
cid,B203,Doença pelo HIV resultando em outras infecções virais
cid,B204,Doença pelo HIV resultando em candidíase
cid,B205,Doença pelo HIV resultando em outras micoses
cid,B206,Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii
cid,B207,Doença pelo HIV resultando em infecções múltiplas
cid,B208,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
cid,B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
cid,B210,Doença pelo HIV resultando em sarcoma de Kaposi
cid,B211,Doença pelo HIV resultando em linfoma de Burkitt
cid,B212,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin
cid,B213,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos"
cid,B217,Doença pelo HIV resultando em múltiplas neoplasias malignas
cid,B218,Doença pelo HIV resultando em outras neoplasias malignas
cid,B219,Doença pelo HIV resultando em neoplasia maligna não especificada
cid,B220,Doença pelo HIV resultando em encefalopatia
cid,B221,Doença pelo HIV resultando em pneumonite intersticial linfática
cid,B222,Doença pelo HIV resultando em síndrome de emaciação
cid,B227,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
cid,B230,Síndrome de infecção aguda pelo HIV
cid,B231,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
cid,B232,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
cid,B238,Doença pelo HIV resultando em outra afecções especificadas
cid,B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
cid,B250,Pneumonite por citomegalovírus
cid,B251,Hepatite por citomegalovírus
cid,B252,Pancreatite por citomegalovírus
cid,B258,Outras doenças por citomegalovírus
cid,B259,Doença não especificada por citomegalovírus
cid,B260,Orquite por caxumba [parotidite epidêmica]
cid,B261,Meningite por caxumba [parotidite epidêmica]
cid,B262,Encefalite por caxumba [parotidite epidêmica]
cid,B263,Pancreatite por caxumba [parotidite epidêmica]
cid,B268,Caxumba [parotidite epidêmica] com outras complicações
cid,B269,Caxumba [parotidite epidêmica] sem complicações
cid,B270,Mononucleose pelo vírus herpes gama
cid,B271,Mononucleose por citomegalovírus
cid,B278,Outras mononucleoses infecciosas
cid,B279,Mononucleose infecciosa não especificada
cid,B300,Ceratoconjuntivite devida a adenovírus
cid,B301,Conjuntivite devida a adenovírus
cid,B302,Faringoconjuntivite viral
cid,B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus)
cid,B308,Outras conjuntivites virais
cid,B309,Conjuntivite viral não especificada
cid,B330,Mialgia epidêmica
cid,B331,Doença de Ross River
cid,B332,Cardite viral
cid,B333,Infecção por retrovírus não classificada em outra parte
cid,B334,Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]
cid,B338,Outras doenças especificadas por vírus
cid,B340,Infecção por adenovírus de localização não especificada
cid,B341,Infecção por enterovírus de localização não especificada
cid,B342,Infecção por coronavírus de localização não especificada
cid,B343,Infecção por parvovírus de localização não especificada
cid,B344,Infecção por papovavírus de localização não especificada
cid,B348,Outras infecções por vírus de localização não especificada
cid,B349,Infecção viral não especificada
cid,B350,Tinha da barba e do couro cabeludo
cid,B351,Tinha das unhas
cid,B352,Tinha da mão
cid,B353,Tinha dos pés
cid,B354,Tinha do corpo
cid,B355,Tinha imbricada
cid,B356,Tinea cruris
cid,B358,Outras dermatofitoses
cid,B359,Dermatofitose não especificada
cid,B360,Pitiríase versicolor
cid,B361,Tinha negra
cid,B362,Piedra branca
cid,B363,Piedra negra
cid,B368,Outras micoses superficiais especificadas
cid,B369,Micose superficial não especificada
cid,B370,Estomatite por Candida
cid,B371,Candidíase pulmonar
cid,B372,Candidíase da pele e das unhas
cid,B373,Candidíase da vulva e da vagina
cid,B374,Candidíase de outras localizações urogenitais
cid,B375,Meningite por Candida
cid,B376,Endocardite por Candida
cid,B377,Septicemia por Candida
cid,B378,Candidíase de outras localizações
cid,B379,Candidíase não especificada
cid,B380,Coccidioidomicose pulmonar aguda
cid,B381,Coccidioidomicose pulmonar crônica
cid,B382,Coccidioidomicose pulmonar não especificada
cid,B383,Coccidioidomicose cutânea
cid,B384,Meningite por coccidioidomicose
cid,B387,Coccidioidomicose disseminada
cid,B388,Outras formas de coccidioidomicose
cid,B389,Coccidioidomicose não especificada
cid,B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum
cid,B391,Histoplasmose pulmonar crônica por Histoplasma capsulatum
cid,B392,Histoplasmose pulmonar não especificada por Histoplasma capsulatum
cid,B393,Histoplasmose disseminada por Histoplasma capsulatum
cid,B394,Histoplasmose não especificada por Histoplasma capsulatum
cid,B395,Histoplasmose por Histoplasma duboisii
cid,B399,Histoplasmose não especificada
cid,B400,Blastomicose pulmonar aguda
cid,B401,Blastomicose pulmonar crônica
cid,B402,Blastomicose pulmonar não especificada
cid,B403,Blastomicose cutânea
cid,B407,Blastomicose disseminada
cid,B408,Outras formas de blastomicose
cid,B409,Blastomicose não especificada
cid,B410,Paracoccidioidomicose pulmonar
cid,B417,Paracoccidioidomicose disseminada
cid,B418,Outras formas de paracoccidioidomicose
cid,B419,Paracoccidioidomicose não especificada
cid,B420,Esporotricose pulmonar
cid,B421,Esporotricose linfocutânea
cid,B427,Esporotricose disseminada
cid,B428,Outras formas de esporotricose
cid,B429,Esporotricose não especificada
cid,B430,Cromomicose cutânea
cid,B431,Abscesso cerebral feomicótico
cid,B432,Abscesso e cisto feomicótico subcutâneos
cid,B438,Outras formas de cromomicose
cid,B439,Cromomicose não especificada
cid,B440,Aspergilose pulmonar invasiva
cid,B441,Outras aspergiloses pulmonares
cid,B442,Aspergilose amigdaliana
cid,B447,Aspergilose disseminada
cid,B448,Outras formas de aspergilose
cid,B449,Aspergilose não especificada
cid,B450,Criptococose pulmonar
cid,B451,Criptococose cerebral
cid,B452,Criptococose cutânea
cid,B453,Criptococose óssea
cid,B457,Criptococose disseminada
cid,B458,Outras formas de criptococose
cid,B459,Criptococose não especificada
cid,B460,Mucormicose pulmonar
cid,B461,Mucormicose rinocerebral
cid,B462,Mucormicose gastrointestinal
cid,B463,Mucormicose cutânea
cid,B464,Mucormicose disseminada
cid,B465,Mucormicose não especificada
cid,B468,Outras zigomicoses
cid,B469,Zigomicose não especificada
cid,B470,Eumicetoma
cid,B471,Actinomicetoma
cid,B479,Micetoma não especificado
cid,B480,Lobomicose
cid,B481,Rinosporidiose
cid,B482,Alesqueriose
cid,B483,Geotricose
cid,B484,Penicilose
cid,B487,Micoses oportunistas
cid,B488,Outras micoses especificadas
cid,B49,Micose não especificada
cid,B500,Malária por Plasmodium falciparum com complicações cerebrais
cid,B508,Outras formas graves e complicadas de malária por Plasmodium falciparum
cid,B509,Malária não especificada por Plasmodium falciparum
cid,B510,Malária por Plasmodium vivax com rotura do baço
cid,B518,Malária por Plasmodium vivax com outras complicações
cid,B519,Malária por Plasmodium vivax sem complicações
cid,B520,Malária por Plasmodium malariae com nefropatia
cid,B528,Malária por Plasmodium malariae com outras complicações
cid,B529,Malária por Plasmodium malariae sem complicações
cid,B530,Malária por Plasmodium ovale
cid,B531,Malária por plasmódios de macacos
cid,B538,"Outras formas de malárias com confirmação parasitológica, não classificadas em outra parte"
cid,B54,Malária não especificada
cid,B550,Leishmaniose visceral
cid,B551,Leishmaniose cutânea
cid,B552,Leishmaniose cutâneo-mucosa
cid,B559,Leishmaniose não especificada
cid,B560,Tripanossomíase por Trypanosoma gambiense
cid,B561,Tripanossomíase por Trypanosoma rhodesiense
